,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
0,0,PMCID:32056416,American journal of dentistry,feasibl establish teledent approach nontraumat dental emerg medic set,2020,purpos nontraumat dental condit visit ntdcs repres 14 2 emerg depart ed visit limit palliat care associ high cost care feasibl establish teledent approach manag ntdcs ed urgent care uc set undertaken explor possibl util remot teledent consult method particip ntdcs educ examin extra intraor 1 direct ed provid 2 remot teledent examin train dentist use intraor camera highdefinit pantiltzoom ptz camera 3 direct treat dentist post educ visit applic 4 secondari assess teledent review comparison drawn differenti diagnos recommend manag provid educ provid teledent examin treat dentist teledent review result 13 patient particip studi overal interrat agreement teledent examin teledent review high low teledentist ed provid preliminari test teledent intervent educ set demonstr potenti feasibl address ntdc land educ larger intervent studi multisit set need valid approach especi evalu impact cost educ workflow patient outcom clinic signific use teledentistri triag nontraumat dental visit emerg room may promis approach approach valid larger studi teledent outreach could help direct nontraumat dental emerg patient appropri dental set provid treatment patient,32056416,Medicine,Telephone Number,https://dl.acm.org/doi/pdf/32056416?download=true,3,0
1,1,PMCID:18998943,AMIA ... Annual Symposium proceedings. AMIA Symposium,preliminari comparison speech recognit function dental practic manag system,2008,studi examin speech recognit function four lead dental practic manag system twenti dental student use voic chart simul patient 18 find system result show take minut chart one find user frequent repeat command limit function poor usabl high error rate appear retard adopt speech recognit dentistri,18998943,Computer Science Medicine,Emergencies [Disease/Finding],https://dl.acm.org/doi/pdf/18998943?download=true,1,0
2,2,PMCID:18998872,AMIA ... Annual Symposium proceedings. AMIA Symposium,smartcons computer inform consent dental patient,2008,communic person inform patient risk benefit critic inform dental diseas treatment often difficult provid research develop novel inform consent prototyp accur translat communic inform patient standard effect manner base diagnosi prescrib treatment futur work aim integr smartcons institut electron patient record epr determin effect random control studi,18998872,Medicine,Accident and Emergency department,https://dl.acm.org/doi/pdf/18998872?download=true,1,0
3,3,PMCID:18998817,AMIA ... Annual Symposium proceedings. AMIA Symposium,web servic model electron dental record,2008,serviceori architectur soa ideal promis paradigm health inform system studi demonstr appli soa dentistri develop webservic model electron dental record,18998817,Computer Science Medicine,Puromycin Aminonucleoside,https://dl.acm.org/doi/pdf/18998817?download=true,0,0
4,4,PMCID:24303273,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,ontologybas method secondari use electron dental record data,2013,key question healthcar operation vision learn healthcar system electron health record data becom continu inform sourc qualiti assur research project present initi ontologybas method secondari use electron dental record edr data defin set dental clinic research question construct oral health diseas ontolog ohd analyz data commerci edr databas creat knowledg base ohd use repres clinic data 4500 patient singl dental practic current ohd includ 213 class reus 1658 class ontolog develop initi set sparql queri allow extract data patient teeth surfac restor find work establish complet open reproduc workflow extract aggreg data varieti edr research qualiti assur,24303273,Medicine,Erectile dysfunction,https://dl.acm.org/doi/pdf/24303273?download=true,12,0
5,5,PMCID:23537067,BMC oral health,compar potenti earli cari assess method teledentistri,2013,backgroundopt cari detect potenti incorpor telehealth medicin prevent dental screen object studi evalu compar visibl near infrar detect method identifi earli noncavit ex vivo occlus demineralizationmethodssix blind examin use compar accuraci follow three examin detect occlus deminer midwest cari id™ mid visual photograph examin cam cross polar optic coher tomographi cpoct diagnost method two examin assess extract tooth sampl 1–2 week apart teeth section lesion depth confirm n 42 blind histolog examin use glycol base cari indic dye sensit sen specif sp intraclass correl coeffici icc area receiv oper curv auc calculatedresultsfor detect deminer versus sound pit fissur enamel mean sensp found 469850 mid 805525 cam 834450 cpoct detect noncavit deminer progress dentin mean sensp found 173880 mid 480578 cam 442727 cpoct auc valu statist signific p 005 three four examin assess mid cpoct use detect deminer auc valu signific singl cam examin assess deeper noncavit lesion none assess method abl yield auc valu signific differ random coin flip test examin reliabl mid demonstr highest icc score 083 cpoct lowest 049conclusionalthough mid cpoct use detect presenc deminer examin abl util devic adequ assess depth deminer studi found mid cpoct mark superior diagnost valu simpl cam assess use teledentistri,23537067,Medicine,Urgent Care,https://dl.acm.org/doi/pdf/23537067?download=true,21,0
6,6,PMCID:21894874,Compendium of continuing education in dentistry,digidont computer restor dentistrya case report,2011,today practition dentistri overwhelm need analyz understand priorit implement extraordinari amount knowledg technic skill requir practic ideal dentistri continu educ necessari increas inform patient popul demand among mani technolog advanc comput permeat mainstream restor dentistri convent system radiographi impress latest face digit counterpart case present demonstr cone beam computer tomographi cbct dedic digit impress system use alongsid convent techniqu obtain excel esthet function result,21894874,Engineering Medicine,Differential Diagnosis,https://dl.acm.org/doi/pdf/21894874?download=true,0,0
7,7,PMCID:21346989,AMIA ... Annual Symposium proceedings. AMIA Symposium,train support need faculti student use health inform technolog system signific case studi dental school,2010,health inform technolog system hit becom wide integr patient care dental school set purpos studi evalu impact chairsid hit user dental school set qualit techniqu includ interview focus group observ use use ground theori saw 9 theme emerg one theme particular interest train support need endus signific paper explor theme detail discuss implic,21346989,Medicine,Oral cavity,https://dl.acm.org/doi/pdf/21346989?download=true,7,0
8,8,PMCID:18271498,International journal of computerized dentistry,support emerg dental informat onlin communiti,2007,dental informat di applic comput inform scienc improv dental practic research educ program administr emerg field dental informat face mani challeng barrier establish fullfledg disciplin includ small number geograph dispers di research well lack di profession societi dispecif journal ecommun potenti overcom obstacl bring research togeth resourc hub give abil share inform discuss topic find collabor paper discuss assess inform need individu interest di discuss expect ecommun design optim electron infrastructur dental informat onlin communiti dioc 256 survey respond indic prefer electron resourc tradit print materi satisfi inform need frequent expect benefit particip dioc general inform 85 respond peer network 311 identif potenti collabor andor research opportun 232 current build dioc electron infrastructur searchabl public archiv learn center creat peopl directori underway reader encourag access dioc websit wwwdentalinformaticscom initi discuss author paper,18271498,Engineering Medicine,Triage,https://dl.acm.org/doi/pdf/18271498?download=true,4,0
9,9,PMCID:22141236,International journal of computerized dentistry,input devic dental environ,2011,none,22141236,Computer Science Medicine,Large,https://dl.acm.org/doi/pdf/22141236?download=true,0,0
