,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
0,0,https://doi.org/10.5455/aim.2012.20.47-55,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,inform system dentistri,2012,introduct almost entir human creativ today standpoint effici expedi condit exist inform system inform system orient manag decisionmak includ health inform system system health health insur togeth form one import segment societi function compact unit increas requir reduc health care cost preserv improv qualiti servic provid repres difficult task health system materi method use descript metod retreiiv literatur analyz latest solut inform telecommun technolog basi build effect effici health system computer primari object save ration spend health care estim least 2030 money spent health care ration util computer give necessari data indic ration import goal project achiev use benefit improv overal care patient policyhold increas speed accuraci diagnosi determin treatment use electron diagnost therapeut guidelin result discuss computer dentistri began similar human activities–record larg amount data digit media replac manual data process machin one specif dental profess led specif applic inform technolog continu requir special develop dental orient appli harmon dental softwar global standard enabl doctor dentist mous click via internet reach general medic inform patient central nation health databas standard also allow access general medic dental histori data citizen foreign countri seek help doctor dentist vacat method use provid higher level health servic better health care also identif procedur mass disast avail data contribut acceler identif victimsdent inform system late base web applic facilit data exchang electron patient record contain basic inform enter data automat creat protocol patient printedbesid general data electron patient record also contain histori data relat allergi diseas exist signific affect treatment data current diagnosi locat patholog process tooth refer follow locat mesial distal vestibular oral occlus teeth therapi tooth type materi use locat tooth system may defin also surgic procedur perform teeth tooth extract tooth root resect abil accur indic root resect implant upgrad grind teeth independ crown defin tooth right place tooth miss special design graphic represent teeth enabl enter data first click tooth place also occas open menu option control data entri prevent entri illog data conclus system accord hl7 standard repres electron document elimin need paper document varieti daili month report doctor still use today doctor nurs almost complet freed administr task,10.5455/aim.2012.20.47-55,Computer Science Medicine,Information Systems,https://dl.acm.org/doi/pdf/10.5455/aim.2012.20.47-55?download=true,10,1
1,1,https://doi.org/10.1177/154407370301700108,Advances in dental research,biomed informat train dental research,2003,dental research collabor close biomed informatician achiev mani advanc oral health research map human genet address oral health dispar advanc continu increas dental research biomed informatician studi other disciplin increas effect collabor research combin skill great increas effect dental research manuscript summar core biomed informat curriculum biomed informat knowledg data manag softwar engin dental research also summar obstacl must overcom dental research student receiv train biomed informat requir issu lack biomed informat faculti lack biomed informat cours lack accredit standard last intra interinstitut collabor solut describ “the decad ahead wit advanc scienc technolog yet unforeseen dentistri benefit advanc must intim involv progression” american dental associ 2002,10.1177/154407370301700108,Medicine,Dentistry,https://dl.acm.org/doi/pdf/10.1177/154407370301700108?download=true,3,0
2,2,https://doi.org/10.1177/154407370301700104,Advances in dental research,dental informat work progress,2003,dental informat young scientif disciplin undergo continu matur literatur estim consist approxim 600 paper publish 1975 2003 current grow rate 50 paper annual interest disciplin grow number core contributor dental informat research remain relat small two major question disciplin research challeng dental informat face today disciplin strengthen posit maxim success address challeng progress toward research challeng formul ten year ago vari mani new technolog becom avail clinic dental practic research educ mani fundament problem remain address informat research recommend augment research capac dental informat includ creat stronger worldwid dental informat research communiti draw biomed informat research dental research area provid career opportun dental informat research address grand challeng togeth communiti recruit subsequ generat dental informatician,10.1177/154407370301700104,Medicine,Dental Records,https://dl.acm.org/doi/pdf/10.1177/154407370301700104?download=true,29,3
3,3,https://doi.org/10.1177/154407370301700103,Journal of dental education,dental informat emerg biomed informat disciplin,2003,biomed informat matur disciplin last forti year develop research disciplin signific scale scope one subdisciplin dental informat begin emerg entiti grow cadr train dental informatician dental faculti administr general familiar dental informat area scientif inquiri mani confus informat inform technolog unawar scientif method principl cannot relat dental informat biomed informat whole articl delin informat inform technolog explain type scientif question dental informatician typic explor scientif investig informat center primarili model formul system develop system implement studi effect informat draw scientif method main inform scienc comput scienc cognit scienc telecommun dental informat share mani type research question method parent disciplin biomed informat howev indic certain research question dental informat requir novel solut yet develop informat field,10.1177/154407370301700103,Medicine,Dental Offices,https://dl.acm.org/doi/pdf/10.1177/154407370301700103?download=true,26,3
4,4,https://doi.org/10.1177/154407370301700105,Advances in dental research,grand challeng dental informat,2003,truli signific scientif challeng overcom profound chang daili activ well futur research activ everyon involv relat field identifi describ grand challeng face scientif field help fund agenc identifi priorit project support stimul encourag new investig work intellectu technolog challeng help defin field articl present informaticsori futurepatientcar scenario describ seri applic relat informat grand challeng face dental field today new techniqu technolog help us overcom challeng would facilit develop truli monument applic comprehens electron oral health record autom dental treatment plan system diagnos system profil patient risk chronic oral diseas,10.1177/154407370301700105,Medicine,Tooth root structure,https://dl.acm.org/doi/pdf/10.1177/154407370301700105?download=true,15,0
5,5,https://doi.org/10.1177/154407370301700112,Advances in dental research,informat challeng tissu engin biomateri,2003,tissu engin biomateri made tremend stride recent yet major question remain unansw tissueengin product come market other develop fundament issu informat could address tissu engin describ predict cascad biochem cellular reaction occur function time implant materi surfac textur microporos pore size densiti connect threedimension configur behavior ceram subset tissueengin scaffold materi mainstay dental restor studi extens thin layer thick greater 2 mm recent littl known dental relev thick 1–2 mm result surpris continu develop still least one fundament question remain could address informat techniqu along spectrum flatpolish materi 10year clinic vivo studi test predict clinic perform allceram crown accur,10.1177/154407370301700112,Materials Science Medicine,Dental Clinics,https://dl.acm.org/doi/pdf/10.1177/154407370301700112?download=true,11,0
6,6,https://doi.org/10.1177/154407370301700111,Advances in dental research,informat system assess appli clinic research dental restor materi,2003,dental biomateri use clinic one follow purpos restor function enhanc esthet prevent arrest deminer tooth structur studi clinic perform restor prosthes made materi general focus qualiti assess surviv statist data studi provid probabl specif treatment outcom use practic dentist howev util data limit lack nation intern standard assess clinic outcom standard approach toward clinic informat treatmentdecis analysi urgent need minim variabl clinic outcom report public associ direct indirect restor materi use dental restor prosthes,10.1177/154407370301700111,Medicine,Apicoectomy,https://dl.acm.org/doi/pdf/10.1177/154407370301700111?download=true,25,3
7,7,https://doi.org/10.1177/154407370301700121,Advances in dental research,overview bioinformat applic oral genom,2003,“informat revolution” bioinformat dental informat eventu chang way practic dentistri converg play pivot role creat bridg opportun integr scientif clinic specialti promot advanc treatment risk assess diagnosi therapeut oral healthcar outcom bioinformat emerg field biomed research communiti gain momentum dental medicin area creat steadi stream larg complex genom data transform way clinic basic scienc research approach genom research applic dental medicin term “oral genomics” aid molecular understand gene protein interact pathway network respons develop progress oral diseas disord result human genom project new advanc prompt highthroughput technolog dna microarray becom accept tool biomed research communiti manuscript review two common use microarray technolog basic microarray data analysi result sever ongo oral cancer genom studi,10.1177/154407370301700121,Medicine,standards characteristics,https://dl.acm.org/doi/pdf/10.1177/154407370301700121?download=true,18,0
8,8,https://doi.org/10.1177/154407370301700118,Advances in dental research,role inform technolog informat research dentistpati relationship,2003,highvalu doctorpati relationship base set paramet includ interperson relationship patient doctor base primari care assess survey model measur interperson relationship associ communic interperson care contextu knowledg patient trust despit proven valu doctorpati relationship current trend indic qualiti relationship declin advent communic inform technolog great affect way health care deliv relationship doctor patient converg communic inform technolog biomed informat offer opportun affect charact doctorpati relationship posit paper examin intersect key featur doctorpati relationship varieti internetbas clinic administr applic use dental practic paper discuss role dental informat research visàvi doctorpati relationship explor may inform next generat inform technolog use dental practic,10.1177/154407370301700118,Medicine,Deciduous maxillary right second molar tooth,https://dl.acm.org/doi/pdf/10.1177/154407370301700118?download=true,32,3
9,9,https://doi.org/10.1016/J.AJODO.2005.04.017,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",ada initi develop orthodont informat standard,2005,none,10.1016/J.AJODO.2005.04.017,Engineering Medicine,Health Care Costs,https://dl.acm.org/doi/pdf/10.1016/J.AJODO.2005.04.017?download=true,14,0
