,article_id,Reference_paper_id,Reference_paper_doi,Reference _paper_title,Reference_paper_venue,Reference_paper_year,Intent,Is_influential
0,10.5455/aim.2012.20.47-55,0f75e25cef78d7f84d20812d3b617fa1a5bbd471,10.1136/bmj.321.7262.713/a,Source,BMJ : British Medical Journal,2000,,False
1,10.5455/aim.2012.20.47-55,b974a3210386d73fe735e891ab1f057c9d4cb333,,Prikaz predloženog rješenja središnjeg informacijskog sustava primarne zdravstvene zaštite,,2004,,False
2,10.5455/aim.2012.20.47-55,da01e7fd7a6af8f8a4e5a8ed1019c9881cf7127b,,Uspostava i razvoj informacijskog sustava u primarnoj zdravstvenoj zaštiti,,2004,,False
3,10.5455/aim.2012.20.47-55,df6b9c1e30aecd9b2a240bcfc80495cd1eb1a6e1,,Primjena informacijskih tehnologija u stomatologiji – budućnost i perspektive,,2004,,False
4,10.1177/154407370301700108,73163af27c031b5024cd1f4930757393c2cfa990,10.1038/NBT1186-925,Sequence the Human Genome,Bio/Technology,1986,background,False
5,10.1177/154407370301700108,a87300a94531f8904b218358f83c7d45ca583708,10.1007/978-0-387-21721-5_4,Essential concepts for medical computing,,1990,,False
6,10.1177/154407370301700108,e281acebf11048186065e34bff258eaebc5b61f3,10.1007/978-3-642-45674-9,Dental Informatics: Strategic Issues for the Dental Profession,Lecture Notes in Medical Informatics,1990,background,False
7,10.1177/154407370301700108,fed7727e4864406ad69362f9500c93011dac7005,,"The Relational Model for Database Management, Version 2",,1990,methodology,False
8,10.1177/154407370301700108,70a054ffcbdd7e029ccb7a9321f8455da71921f5,,A systematic evaluation of intraoral cameras.,,1994,,False
9,10.1177/154407370301700108,d5766f53158ad1d27a5c76355822d68af52eacdc,,A systematic evaluation of intraoral cameras.,Journal of the California Dental Association,1994,background,False
10,10.1177/154407370301700108,4b3068a7fe7eaa851a595014ca1502fb6db8012b,,Dynamics of Software Development,,1995,background,False
11,10.1177/154407370301700108,02100a0e2840d551d02bbfca22ec5e26b1afd98e,,Information Management for Health Professions,,1996,background,False
12,10.1177/154407370301700108,51a7dbb6c796ee582f7c563deac874b254105c99,10.1002/j.0022-0337.1997.61.8.tb03148.x,Geriatric patient simulations for dental hygiene.,Journal of dental education,1997,background,False
13,10.1177/154407370301700108,678c6d77451094beb0fd21664cdf25e12a713ba5,10.1007/978-1-4612-0675-0,Introduction to Clinical Informatics,Health Informatics Series,1996,background,False
14,10.1177/154407370301700108,8be27e27078f3ae2cc1380db0f8a1deeba95a9a4,,"The Global Village of Dentistry: Internet, Intranet, Online Services for Dental Professionals",,1998,background,False
15,10.1177/154407370301700108,b12c47abb3e40e2a127095ee4a98625509527315,10.1002/J.0022-0337.1998.62.11.TB03258.X,"Dental Interactive Simulations Corporation (DISC): simulations for education, continuing education, and assessment.",Journal of dental education,1998,background,False
16,10.1177/154407370301700108,c604a7aa5100e158a524377921e9d1de4858f504,,(Bio) medical informatics in the next decade.,Journal of the American Medical Informatics Association : JAMIA,1998,background,False
17,10.1177/154407370301700108,dbf110100623076eee71380c6d0d57897bcf464b,,Performance improvement through information management : health care's bridge to success,,1999,background,False
18,10.1177/154407370301700108,067c22499b73ef1b12be7a8ecdd92c4104a430b4,,Biomedical computation at Stanford University: a larger umbrella for the future.,M.D. computing : computers in medical practice,2000,background,False
19,10.1177/154407370301700108,31a566968bcb8a38de43e04b18673877af0dc52c,,Web Project Management: Delivering Successful Commercial Web Sites,,2000,background,False
20,10.1177/154407370301700108,827ef2ffa3faf490eebda8020cff38dca8a09537,10.1080/1358165000250205,"Continuing Dental Education via an Interactive Video Network: course development, implementation and evaluation",,2000,background,False
21,10.1177/154407370301700108,a81cca0a1388e2b3c5e495779cb6201a2d5c3d15,10.1002/J.0022-0337.2000.64.12.TB03385.X,An initial evaluation of the Iowa Dental Surgical Simulator.,Journal of dental education,2000,background,False
22,10.1177/154407370301700108,02272f0ca8df2de2214efa30394c51475012ded8,10.1002/J.0022-0337.2001.65.11.TB03480.X,Problem-based learning and the dental school library.,Journal of dental education,2001,background,False
23,10.1177/154407370301700108,29320b4a844e51424fec19588beef0a0afd8984c,10.1007/978-0-387-21721-5_6,Standards in Medical Informatics,,2001,,False
24,10.1177/154407370301700108,a2746eafaa41d505fc73ed8e987ce69c70ef2cbc,10.1177/00220345010800060601,Collaboratories: Leveraging Information Technology for Cooperative Research,Journal of dental research,2001,background,False
25,10.1177/154407370301700108,aa12d125891acbe60f8cf62d557223b1c7b95eee,10.1002/J.0022-0337.2001.65.10.TB03471.X,Methods employed for other systematic reviews.,Journal of dental education,2001,background,False
26,10.1177/154407370301700108,bbd7e28725387e1e0d85d13d6f0a1eaab8bf0370,10.1016/S0169-2607(00)00089-4,The design and testing of a force feedback dental simulator,Comput. Methods Programs Biomed.,2001,,False
27,10.1177/154407370301700108,f18b9a1d06c14a6efb87523e8715b32c5dc36a78,10.1002/J.0022-0337.2001.65.10.TB03467.X,Search strategies for independent reviewers.,Journal of dental education,2001,background,False
28,10.1177/154407370301700108,5ba13490dd3426d45bc46d0ce9a38722d4312482,10.1055/S-0038-1638138,Medical Informatics Training and Research at Columbia University.,Yearbook of medical informatics,2002,background,False
29,10.1177/154407370301700108,87621e76b997bb817a6c2523c46a4681e08af4e9,,Medical Informatics Computer Applications in Health Care and Biomedicine,,2002,background,False
30,10.1177/154407370301700108,97c3a09f47919db0e59b54d529f3ea258e54c9ae,10.1563/1548-1336(2002)028<0029:TUOCTF>2.3.CO;2,The use of computerized tomography for diagnosis and treatment planning in implant dentistry.,The Journal of oral implantology,2002,background,False
31,10.1177/154407370301700108,c46d874fce3db22b5b7c7aa55fafb31d57580b08,10.1098/rsta.2002.0984,"Promise and challenge of high-performance computing, with examples from molecular modelling","Philosophical Transactions of the Royal Society of London. Series A: Mathematical, Physical and Engineering Sciences",2002,background,False
32,10.1177/154407370301700108,fa17c609d3b749893959dd4a6bf57727c7f1a526,10.1002/0470857897.CH3,"Advances in computing, and their impact on scientific computing.",Novartis Foundation symposium,2002,background,False
33,10.1177/154407370301700108,11235c8587129120b4585b5dae96f3ceecd9627c,,"Introduction to conference proceedings ""Dental Informatics and Dental Research: Making the Connection”",,2003,,False
